day,A,B,C
140,118.4701933960938,104.06895787290613,79.79987066993353
141,115.29277967932863,102.21480869188723,78.71073972180403
142,115.22000346599249,102.15369076759866,78.11062225966897
143,118.64978768207864,103.10384583028136,80.85430337726847
144,116.34480467557279,102.21570620329469,78.63928159898812
145,117.11425540802362,102.94822038181569,79.61732218049954
146,118.38951939702449,103.38750148804331,78.3101566302011
147,119.38652151263365,104.83779341325999,77.55389075661368
148,119.85136894027369,105.64500078701333,78.55009016839354
149,120.85213575213217,105.2512712808439,78.66999853086165
150,122.71398971347496,105.16452262821203,79.3726852014477
151,122.50573608730724,105.97233722733145,78.54239601470354
152,119.64543040607124,106.05568959907893,77.05077362490265
153,120.47128430652273,105.44982430578264,77.47339331147512
154,120.1486203674294,106.49131593710187,77.8236307888523
155,121.41004387496595,107.05731644317407,78.70941100484785
156,121.57817664139664,107.42902299232664,77.96134743894532
157,122.93773191447141,106.31933542493624,76.61063179110596
158,122.95550210413158,106.35236552786435,76.40617989422385
159,122.61905327694602,109.25670232901186,73.40579194163094
160,122.74358537550906,109.157806200299,71.58294233139074
161,123.63676855842522,110.93340821102895,70.81869708085479
162,125.1468334626765,113.0651396573252,72.2424436520109
163,124.35856561237078,108.46995493863028,69.4186456618242
164,123.10963612194048,107.48530819858492,68.14496668173437
165,124.06540586121984,107.63189907745074,71.06736571774742
166,123.12920329480762,109.3216383932163,72.68323989737694
167,123.27868601635092,108.63242168377333,74.97631517349753
168,124.19188164441526,105.63995282869361,76.33566970027056
169,125.75251630159717,106.35085122345767,77.35086540971136
170,126.5491041315547,108.23084406932256,77.24786386190866
171,125.96451476058576,109.25355027865798,77.08135500518146
172,126.01409582516378,109.42643445131252,79.55695736444429
173,125.41702655129022,110.72898916273616,81.3434184298806
174,123.56382462383606,109.58512171687336,80.52120685441427
175,124.09280184032873,110.04030228775031,83.30184820287951
176,123.96820991254145,109.60302635385703,83.67601053765591
177,123.44634016891948,109.09709249916196,86.51840084547197
178,121.85886817367965,109.06030371300128,84.85070571581987
179,121.87616630614134,111.32397482532693,86.77160418383083
